,question_id,db_id,question,gold_sql,predicted_sql,both_executed,results_equal,gold_error,pred_error,model_name,model_engine,gen_type,dataset_path,n_examples,instructions_level,experiment_id
11,12,unknown,"account created in the year 2011 refers to year(CreationDate) = 2011
Please list the display names of all the users whose accounts were created in the year 2011.","SELECT DisplayName FROM users WHERE STRFTIME('%Y', CreationDate) = '2011'","SELECT DisplayName FROM users WHERE strftime('%Y', CreationDate) = '2011';",True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
12,13,unknown,"set number 5 refers to id = 5
What is the name of set number 5 and its translation?","SELECT T1.name, T2.translation FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T2.id = 5 GROUP BY T1.name, T2.translation","SELECT s.name, st.translation FROM sets s LEFT JOIN set_translations st ON s.code = st.setCode WHERE s.id = 5;",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
13,14,unknown,"fastest lap refers to min(milliseconds); Alex Yoong refers to the full name of the driver; Full name of the driver refers to drivers.forename and drivers.surname;
State the race and year of race in which Michael Schumacher had his fastest lap.","SELECT T1.name, T1.year FROM races AS T1 INNER JOIN lapTimes AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T3.forename = 'Michael' AND T3.surname = 'Schumacher' ORDER BY T2.milliseconds ASC LIMIT 1","SELECT races.name, races.year FROM races JOIN results ON races.raceId = results.raceId JOIN drivers ON results.driverId = drivers.driverId WHERE drivers.forename || ' ' || drivers.surname = 'Michael Schumacher' AND results.milliseconds = (SELECT MIN(milliseconds) FROM results WHERE results.driverId = drivers.driverId);",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
14,15,unknown,"highest amount of budget spend refers to MAX(spent)
What is the highest amount of budget spend for an event?",SELECT MAX(spent) FROM budget,SELECT MAX(spent) FROM budget;,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
15,16,unknown,"label = '+' mean molecules are carcinogenic; label = '-' means molecules are non-carcinogenic
Is molecule TR000 is carcinogenic or not?",SELECT label FROM molecule AS T WHERE T.molecule_id = 'TR000',SELECT label FROM molecule WHERE molecule_id = 'TR000';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
16,17,unknown,"Elijah Allen is the full name; full name refers to first_name, last_name; The 5th and 6th string of the expense_date in the expense table can refer to month; events in September and October refers to month(expense_date) = 9 OR month(expense_date) = 10
Calculate the total average cost that Elijah Allen spent in the events on September and October.","SELECT AVG(T2.cost) FROM member AS T1 INNER JOIN expense AS T2 ON T1.member_id = T2.link_to_member WHERE T1.last_name = 'Allen' AND T1.first_name = 'Elijah' AND (SUBSTR(T2.expense_date, 6, 2) = '09' OR SUBSTR(T2.expense_date, 6, 2) = '10')","SELECT AVG(e.cost) FROM expense e JOIN member m ON e.link_to_member = m.member_id WHERE m.first_name = 'Elijah' AND m.last_name = 'Allen' AND (strftime('%m', e.expense_date) = '09' OR strftime('%m', e.expense_date) = '10');",True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
17,18,unknown,"full name refers to first_name, last name
Write the full name of the club member with the position of 'Secretary' and list which college the club member belongs to.","SELECT T1.first_name, T1.last_name, college FROM member AS T1 INNER JOIN major AS T2 ON T2.major_id = T1.link_to_major WHERE T1.position = 'Secretary'","SELECT m.first_name || ' ' || m.last_name AS full_name, ma.college FROM member m JOIN major ma ON m.link_to_major = ma.major_id WHERE m.position = 'Secretary';",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
18,19,unknown,"Germany refers to Country.name = 'Germany';
Please list the leagues from Germany.",SELECT t2.name FROM Country AS t1 INNER JOIN League AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Germany',SELECT League.name FROM League JOIN Country ON League.country_id = Country.id WHERE Country.name = 'Germany';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
19,20,unknown,"Landon Donovan's refers to player_name = 'Landon Donovan'; Jordan Bowery refers to player_name = 'Jordan Bowery'; percentage refers to DIVIDE(SUBTRACT(player_name = 'Landon Donovan' overall_rating; player_name = 'Jordan Bowery' overall_rating), player_name = 'Landon Donovan' overall_rating)*100
What percentage is Landon Donovan's overall rating higher than Jordan Bowery on 2013/7/12?","SELECT (SUM(CASE WHEN t1.player_name = 'Landon Donovan' THEN t2.overall_rating ELSE 0 END) * 1.0 - SUM(CASE WHEN t1.player_name = 'Jordan Bowery' THEN t2.overall_rating ELSE 0 END)) * 100 / SUM(CASE WHEN t1.player_name = 'Landon Donovan' THEN t2.overall_rating ELSE 0 END) LvsJ_percent FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_fifa_api_id = t2.player_fifa_api_id WHERE SUBSTR(t2.`date`, 1, 10) = '2013-07-12'",SELECT ((ld.overall_rating - jb.overall_rating) * 100.0 / ld.overall_rating) AS percentage FROM Player_Attributes ld JOIN Player_Attributes jb ON ld.date = jb.date JOIN Player p1 ON ld.player_api_id = p1.player_api_id JOIN Player p2 ON jb.player_api_id = p2.player_api_id WHERE p1.player_name = 'Landon Donovan' AND p2.player_name = 'Jordan Bowery' AND ld.date = '2013-07-12';,False,,,Failed to infer types for columns ['percentage'],deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
20,21,unknown,"unknown power cards refers to power is null or power = '*'; promotional types for arena league refers to promoTypes = 'arenaleague'
Please list top three unknown power cards that have promotional types for arena league in alphabetical order.",SELECT name FROM cards WHERE (power IS NULL OR power LIKE '%*%') AND promoTypes = 'arenaleague' ORDER BY name LIMIT 3,"SELECT name, power, promoTypes FROM cards WHERE (power IS NULL OR power = '*') AND promoTypes GLOB '*arenaleague*' ORDER BY name ASC LIMIT 3;",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
21,22,unknown,"Women's Soccer is an event name; phone numbers refers to phone
Please list the phone numbers of the students from the Student_Club that has attended the event ""Women's Soccer"".",SELECT T3.phone FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer',SELECT m.phone FROM member m JOIN attendance a ON m.member_id = a.link_to_member JOIN event e ON a.link_to_event = e.event_id WHERE e.event_name = 'Women\'s Soccer';,False,,,"near ""s"": syntax error",deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
22,23,unknown,"label = '+' mean molecules are carcinogenic; contain fluorine refers to element = 'f'; percentage = DIVIDE(SUM(element = 'f') * 100, COUNT(molecule_id)) where label = '+'; Should consider the distinct atoms when counting;
What percentage of carcinogenic-type molecules does not contain fluorine?",SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element <> 'f' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',SELECT (100 - (SUM(CASE WHEN element = 'f' THEN 1 ELSE 0 END) * 100.0 / COUNT(DISTINCT molecule.molecule_id))) AS percentage FROM molecule LEFT JOIN atom ON molecule.molecule_id = atom.molecule_id WHERE molecule.label = '+' GROUP BY molecule.molecule_id;,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
23,24,unknown,"September 2013 refers to 201309; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.
Please list the product description of the products consumed in September, 2013.",SELECT T3.Description FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID INNER JOIN products AS T3 ON T1.ProductID = T3.ProductID WHERE T2.Date = '201309',SELECT p.Description FROM products p JOIN transactions_1k t ON p.ProductID = t.ProductID JOIN yearmonth y ON t.CustomerID = y.CustomerID WHERE y.Date GLOB '201309*';,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
24,25,unknown,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',SELECT COUNT(DISTINCT satscores.cds) FROM satscores JOIN schools ON satscores.cds = schools.CDSCode WHERE satscores.AvgScrMath > 560 AND schools.FundingType = 'Direct-Funded';,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
25,26,unknown,"Only the time of the champion shows in the format of ""hour: minutes: seconds.millionsecond"";
Who is the champion of the Canadian Grand Prix in 2008? Indicate his finish time.",SELECT T1.time FROM results AS T1 INNER JOIN races AS T2 ON T1.raceId = T2.raceId WHERE T2.name = 'Canadian Grand Prix' AND T2.year = 2008 AND T1.time LIKE '_:%:__.___',"SELECT d.forename, d.surname, r.time FROM results r JOIN drivers d ON r.driverId = d.driverId JOIN races ra ON r.raceId = ra.raceId WHERE ra.name = 'Canadian Grand Prix' AND ra.year = 2008 AND r.position = 1;",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
26,27,unknown,"created on 7/19/2010 7:19:56 PM refers to CreationDate = '2010-07-19 19:19:56.0'
What is the comment's rating score of the post which was created on 7/19/2010 7:19:56 PM",SELECT T1.Score FROM comments AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T1.CreationDate = '2010-07-19 19:19:56.0',SELECT Score FROM comments WHERE PostId = (SELECT Id FROM posts WHERE CreaionDate = '2010-07-19 19:19:56.0');,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
27,28,unknown,"August of 2012 refers to the Date value = '201208' ; Price per unit of product = Price / Amount;
For all the people who paid more than 29.00 per unit of product id No.5. Give their consumption status in the August of 2012.",SELECT T2.Consumption FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Price / T1.Amount > 29.00 AND T1.ProductID = 5 AND T2.Date = '201208',"SELECT y.CustomerID, y.Consumption FROM transactions_1k t JOIN yearmonth y ON t.CustomerID = y.CustomerID WHERE t.ProductID = 5 AND (t.Price / t.Amount) > 29.00 AND y.Date = '201208';",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
28,29,unknown,"the highest longitude refers to the school with the maximum absolute longitude value.
What is the grade span offered in the school with the highest longitude?",SELECT GSoffered FROM schools ORDER BY ABS(longitude) DESC LIMIT 1,"SELECT Low Grade, High Grade FROM frpm WHERE CDSCode = (SELECT CDSCode FROM schools ORDER BY ABS(Longitude) DESC LIMIT 1);",False,,,no such column: Low,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
29,30,unknown,"normal Ig A level refers to IGA > 80 AND IGA < 500; came to the hospital after 1990/1/1 refers to YEAR(`First Date`) > = 1990;
How many patients with a normal Ig A level came to the hospital after 1990/1/1?","SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.IGA BETWEEN 80 AND 500 AND  strftime('%Y',  T1.`First Date`) > '1990'","SELECT COUNT(DISTINCT Patient.ID) FROM Patient JOIN Laboratory ON Patient.ID = Laboratory.ID WHERE Laboratory.IGA > 80 AND Laboratory.IGA < 500 AND strftime('%Y', Patient.[First Date]) >= '1990';",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
30,31,unknown,"triple bond refers to bond_type = '#';
List the elements of all the triple bonds.",SELECT DISTINCT T3.element FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id INNER JOIN atom AS T3 ON T2.atom_id = T3.atom_id WHERE T1.bond_type = '#',SELECT DISTINCT a.element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = '#';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
31,32,unknown,"user no. 3025 refers to UserId = '3025'; comment at 20:29:39 on 2014/4/23 refers to CreationDate = '2014/4/23 20:29:39.0'
User No.3025 gave a comment at 20:29:39 on 2014/4/23 to a post, how many favorite counts did that post get?",SELECT T1.FavoriteCount FROM posts AS T1 INNER JOIN comments AS T2 ON T1.Id = T2.PostId WHERE T2.CreationDate = '2014-04-23 20:29:39.0' AND T2.UserId = 3025,SELECT FavoriteCount FROM posts WHERE Id = (SELECT PostId FROM comments WHERE UserId = 3025 AND CreationDate = '2014-04-23 20:29:39.0');,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
32,33,unknown,"favorite amount of 4 or more refers to FavoriteCount > = 4; Location = 'United Kingdom';
Among the users located in United Kingdom, how many users whose post have a total favorite amount of 4 or more?",SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T1.Location = 'United Kingdom' AND T2.FavoriteCount >= 4,"SELECT COUNT(DISTINCT u.Id) 
FROM users u 
JOIN posts p ON u.Id = p.OwnerUserId 
WHERE u.Location = 'United Kingdom' 
AND p.FavoriteCount >= 4;",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
33,34,unknown,"'Business' is the major name
List out the position of members who joined major of Business.",SELECT T2.position FROM major AS T1 INNER JOIN member AS T2 ON T1.major_id = T2.link_to_major WHERE T1.major_name = 'Business',SELECT m.position FROM member m JOIN major ma ON m.link_to_major = ma.major_id WHERE ma.major_name = 'Business';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
34,35,unknown,"Brent Thomason is the full name; full name refers to first_name, last_name; major refers to major_name
What was Brent Thomason's major?",SELECT T2.major_name FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Brent' AND T1.last_name = 'Thomason',SELECT major.major_name FROM member JOIN major ON member.link_to_major = major.major_id WHERE member.first_name = 'Brent' AND member.last_name = 'Thomason';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
35,36,unknown,"first 100 molecules in number order refers to molecule_id between 'TR000' and 'TR099'; label = '+' means molecules are carcinogenic
Of the first 100 molecules in number order, how many are carcinogenic?",SELECT COUNT(T.molecule_id) FROM molecule AS T WHERE molecule_id BETWEEN 'TR000' AND 'TR099' AND T.label = '+',SELECT COUNT(*) FROM molecule WHERE molecule_id GLOB 'TR0[0-9][0-9]' AND label = '+';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
36,37,unknown,"Year 2011 can be presented as Between 201101 And 201112, which means between January and December in 2011
Which customers, paying in CZK, consumed the most gas in 2011?",SELECT T1.CustomerID FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' AND T2.Date BETWEEN 201101 AND 201112 GROUP BY T1.CustomerID ORDER BY SUM(T2.Consumption) DESC LIMIT 1,"SELECT t.CustomerID, SUM(t.Amount) AS TotalConsumption
FROM transactions_1k t
JOIN customers c ON t.CustomerID = c.CustomerID
WHERE c.Currency = 'CZK' AND strftime('%Y', t.Date) = '2011'
GROUP BY t.CustomerID
ORDER BY TotalConsumption DESC
LIMIT 1;",False,,,Failed to infer types for columns ['TotalConsumption'],deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
37,38,unknown,"FFull name refers to forname+surname; Nationality refers to German; Date of birth refers to dob; year(dob) BETWEEN '1971' AND '1985'
Find the full name, Wiki Pedia page link, and date of birth of German drivers born between 1971 and 1985. List it in descending order of date of birth.","SELECT forename, surname, url, dob FROM drivers WHERE nationality = 'German' AND STRFTIME('%Y', dob) BETWEEN '1971' AND '1985' ORDER BY dob DESC","SELECT forename || ' ' || surname AS full_name, url, dob FROM drivers WHERE nationality = 'German' AND strftime('%Y', dob) BETWEEN '1971' AND '1985' ORDER BY dob DESC;",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
38,39,unknown,Indicate the molecule id is belonging to the TR000_1_2 bond that has the first atom named TR000_1.,"SELECT T2.molecule_id, T2.bond_id, T1.atom_id FROM connected AS T1 INNER JOIN bond AS T2 ON T1.bond_id = T2.bond_id WHERE T1.atom_id = 'TR000_1' AND T2.bond_id = 'TR000_1_2'",SELECT m.molecule_id FROM molecule m JOIN bond b ON m.molecule_id = b.molecule_id JOIN connected c ON b.bond_id = c.bond_id JOIN atom a ON c.atom_id = a.atom_id WHERE b.bond_id = 'TR000_1_2' AND a.atom_id = 'TR000_1';,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
39,40,unknown,How many test takers are there at the school/s whose mailing city address is in Fresno?,SELECT T1.NumTstTakr FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Fresno',SELECT SUM(NumTstTakr) FROM satscores WHERE cds IN (SELECT CDSCode FROM schools WHERE MailCity = 'Fresno');,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
40,41,unknown,"Samuel refers to UserDisplayName; YEAR(CreationDate) = 2013 relates to PostId; YEAR(Date) = 2013 relates to the badge;
List the post IDs and badge names of the user Samuel in 2013.","SELECT T1.PostId, T2.Name FROM postHistory AS T1 INNER JOIN badges AS T2 ON T1.UserId = T2.UserId WHERE T1.UserDisplayName = 'Samuel' AND STRFTIME('%Y', T1.CreationDate) = '2013' AND STRFTIME('%Y', T2.Date) = '2013'","SELECT p.Id, b.Name FROM posts p LEFT JOIN badges b ON p.OwnerUserId = b.UserId WHERE p.OwnerUserId = (SELECT Id FROM users WHERE DisplayName = 'Samuel') AND strftime('%Y', p.CreaionDate) = '2013' AND strftime('%Y', b.Date) = '2013';",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
41,42,unknown,"Earlier birthdate refers to older age; A11 refers to average salary
What is the gender of the oldest client who opened his/her account in the highest average salary branch?","SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",SELECT c.gender FROM client c JOIN disp d ON c.client_id = d.client_id JOIN account a ON d.account_id = a.account_id JOIN district di ON a.district_id = di.district_id WHERE di.A11 = (SELECT MAX(A11) FROM district) ORDER BY c.birth_date ASC LIMIT 1;,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
42,43,unknown,"'October Meeting' is an event name;
List all the members who attended the event ""October Meeting"".",SELECT DISTINCT T3.member_id FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'October Meeting',SELECT m.* FROM member m JOIN attendance a ON m.member_id = a.link_to_member JOIN event e ON a.link_to_event = e.event_id WHERE e.event_name = 'October Meeting';,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
